"DOC","type","country","isonumcode","status","binding (Y/N)","available (Y/N)","year","title","description","symbol","note"
"D033","NPOA","Chile",152,"draft",,"Y",2006,"D033_Chile2006.pdf",,"D033_Chile2006.pdf",
"D034","NPOA","Colombia",170,,,"Y",2010,"D034_Colombia2010.pdf",,"D034_Colombia2010.pdf",
"D035","NPOA","Ecuador",218,,,"Y",2005,"D035_Ecuador2005.pdf",,"D035_Ecuador2005.pdf",
"D036","NPOA","Gambia",270,"draft",,"Y",,"D036_Gambia.pdf",,"D036_Gambia.pdf","no info. about year"
"D037","NPOA","Guatemala",320,"draft",,"Y",2008,"D037_Guatemala2008.pdf",,"D037_Guatemala2008.pdf","Guatemala de la Asunción"
"D038","NPOA","Guinea-Bissau",624,"adopted",,"Y",2007,"D038_Guinea-Bissau2007.pdf",,"D038_Guinea-Bissau2007.pdf",
"D039","NPOA","Philippines",608,"adopted",,"Y",2009,"D039_Philippines2009.pdf",,"D039_Philippines2009.pdf",
"D040","NPOA","Seychelles",690,"adopted",,"Y",2007,"D040_Seychelles2007.pdf",,"D040_Seychelles2007.pdf",
"D041","NPOA","Uruguay",858,,,"Y",2008,"D041_Uruguay2008.pdf",,"D041_Uruguay2008.pdf",
"D042","NPOA","Costa Rica",188,"draft",,"Y",2005,"D042_CostaRica2005.pdf",,"D042_CostaRica2005.pdf",
"D043","NPOA","Costa Rica",188,"adopted",,"Y",2010,"D043_CostaRica2010.pdf",,"D043_CostaRica2010.pdf",
"D044","NPOA","Cabo Verde",132,"draft",,"Y",2005,"D044_CaboVerde2005.pdf",,"D044_CaboVerde2005.pdf",
"D045","NPOA","South Africa",710,"adopted",,"Y",2013,"D045_SouthAfrica2013.pdf",,"D045_SouthAfrica2013.pdf",
"D046","NPOA","Bangladesh",050,"in progress",,"N",,,,,
"D047","NPOA","Maldives",462,"draft",,"Y",2014,"D051_Maldives2014.pdf",,"D051_Maldives2014.pdf","nonofficial"
"D048","NPOA","Myanmar",104,"draft",,"Y",2005,"D052_Myanmar2005.pdf",,"D052_Myanmar2005.pdf","5 pages"
"D049","NPOA","Vanuatu",548,,,,,,,,
"D050","RPOA",,,"adopted",,"Y",2003,"Action Plan for the Conservation of Cartilaginous Fishes (Chondrichthyans) in the Mediterranean Sea",,,
"D051","RPOA",,,,,"Y",2008,"Plan de Acción Regional para la Conservación de Tiburones, Rayas y Quimeras en el Pacífico Sudeste",,,
"D052","RPOA",,,,,"Y",2009,"Pacific Islands - Regional Plan of Action for Sharks",,,
"D053","RPOA",,,"draft",,"Y",,"The CSRP and International Foundation for the Ban d’Arguin subregional Plan of Action",,,
"D054","NPOA","Australia",040,,,"Y",,,,,
"D055","report","Bangladesh",050,,,"Y",,,,,"nonofficial"
"D056","NPOA","Malaysia",458,,,"Y",2014,,,,
"D057","NPOA","Mauritania",478,,,,,,,,
"D058","report","United States of America",840,,,"Y",,,,,
"D059","report","Canada",124,,,,,,,,
